ingredient,Added sugars,Calcium,Carbohydrate,Cholesterol,Choline,Copper,Fiber,Folate,Iron,Magnesium,Manganese,Niacin,Pantothenic acid,Phosphorus,Potassium,Protein,Riboflavin,Saturated fat,Selenium,Sodium,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
digestif,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
dill,3,4,1,0,0,3,4,2,1,2,2,1,4,1,2,1,4,0,0,35,4,0,0,2,2,0,1,14,1
dinner,0,1,4,14,6,9,4,4,5,4,0,10,0,6,4,14,6,17,10,12,6,6,25,10,6,0,1,3,14
dip,0,10,4,0,0,0,12,0,13,0,0,0,0,0,0,20,0,0,0,15,0,0,0,0,18,0,0,0,0
diwali,22,5,5,8,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,125,0,0,0
drink,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,28,250,0,0,0
drinks,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
duck,0,1,22,0,0,4,2,0,2,1,0,1,0,1,2,1,1,0,2,31,2,1,0,2,1,0,1,0,2
easter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
egg,0,10,21,11,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0
eggplant,0,3,3,0,2,44,14,10,9,20,0,10,0,13,6,10,9,10,18,9,19,1,0,11,8,0,5,20,12
endive,0,4,1,0,3,11,11,36,5,4,18,2,18,2,7,2,6,0,0,1,7,241,0,1,7,0,3,192,7
escarole,0,4,1,0,0,0,12,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0
fall,100,5,22,0,0,0,12,0,20,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
fennel,0,4,3,1,3,8,12,6,5,5,0,4,0,5,10,3,3,4,1,9,1,7,0,4,13,0,7,62,2
feta,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,104,0,0,0,0,0,0
fig,120,1,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,0,1,8,9,8,7,5,6,5,6,8,10,5,15,4,22,9,19,29,17,10,2,40,5,0,5,46,4,4
fontina,0,42,1,39,3,3,0,2,1,3,0,1,0,28,1,51,16,78,26,35,2,29,70,5,0,3,2,2,32
frangelico,0,1,1,14,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,13,0,18,0,0,1,0,0,0,0
frankenrecipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frittata,0,6,8,44,0,0,3,0,11,0,0,0,0,0,3,16,0,0,0,20,0,0,0,0,0,165,0,0,0
fritter,0,5,12,22,9,7,6,20,12,6,0,15,0,10,4,15,20,26,19,15,24,9,10,5,1,4,28,18,7
fruit,0,6,4,1,2,4,4,2,1,3,0,2,0,5,4,5,8,3,3,1,4,2,12,4,11,3,1,3,3
fry,0,1,3,11,5,4,0,2,1,1,0,2,0,2,2,2,4,42,3,21,1,2,4,3,1,1,19,102,1
game,0,0,0,32,0,20,0,0,18,6,1,0,0,15,8,45,45,4,18,2,27,0,0,0,0,0,0,0,12
garlic,0,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0
gin,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ginger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goose,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,18,0,0
gouda,0,55,0,36,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,40,0,119,0,0,0,0,0,0,0
grains,0,2,28,0,6,41,54,10,15,26,112,27,29,27,11,21,19,1,25,0,26,1,0,17,0,0,6,5,24
granola,0,5,17,0,0,0,25,0,21,0,0,0,0,0,0,29,0,0,0,4,0,0,0,0,0,0,0,0,0
grape,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
grapefruit,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grappa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grill,0,1,1,11,15,3,0,4,3,7,0,5,0,34,6,31,1,3,29,18,1,1,63,6,0,0,2,2,10
guam,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,37,0,0,0,0
guava,0,2,4,0,0,0,19,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
halibut,0,2,0,12,0,0,0,0,6,0,0,0,0,0,0,41,0,0,0,2,0,20,0,0,0,0,0,0,0
ham,0,1,1,18,14,14,0,0,5,5,0,38,0,22,8,38,15,6,61,50,36,1,17,24,0,3,1,0,17
hamburger,0,0,15,8,0,0,12,0,2,0,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0
hanukkah,70,0,25,7,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,4,0,0,0,0,0,0,0,0,0
harpercollins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hazelnut,0,11,20,4,0,0,9,0,24,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0
healdsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
healthy,0,1,2,2,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,8,0,37,0,0,1,0,0,0,0
herb,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
hollywood,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
honey,0,0,30,0,0,4,1,0,2,0,3,1,1,0,1,1,3,0,1,0,0,0,0,1,1,0,0,0,2
honeydew,0,0,3,0,1,3,3,5,1,2,0,3,0,1,5,1,1,0,1,1,3,0,0,5,20,0,0,2,1
horseradish,0,4,4,0,1,6,12,14,2,6,0,2,0,2,5,2,2,0,5,18,1,0,0,4,28,0,0,1,8
houston,42,9,11,9,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,4,0,0,0,0,0,0,0,0,0
hummus,0,5,8,0,0,0,25,0,7,0,0,0,0,0,0,14,0,0,0,20,0,40,0,0,10,0,0,0,0
jalapeño,0,4,1,23,0,0,6,0,2,0,0,0,0,0,2,34,0,0,0,34,0,0,0,0,0,35,0,0,0
juicer,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,69,0,0,22,0,0,0,0
jícama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kahlúa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kale,0,10,4,0,0,29,6,7,9,8,43,7,0,4,10,7,9,0,0,2,0,1722,0,16,136,0,0,690,0
kirsch,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kiwi,0,3,5,0,0,0,10,0,1,0,0,0,0,0,7,3,0,0,0,0,0,8,0,0,104,0,0,32,0
kosher,3,4,1,0,0,3,4,2,1,2,2,1,4,1,2,1,4,0,0,35,4,0,0,2,2,0,1,14,1
kumquat,0,5,6,0,2,11,23,4,5,5,0,3,0,2,4,4,7,0,0,0,3,2,0,2,49,0,1,0,2
kwanzaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamb,0,0,0,24,0,0,0,0,8,0,0,0,0,0,0,34,0,0,0,3,0,0,0,0,0,0,0,0,0
lancaster,0,7,26,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,26,0,0,0,0,0,0,0
lasagna,0,7,4,6,0,0,3,0,5,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,8,0,0,0,0
leek,0,5,5,1,2,14,7,14,12,7,0,2,0,3,4,3,2,3,2,7,5,10,0,14,12,0,9,43,1
legume,0,5,22,0,0,0,109,0,45,0,0,0,0,0,0,50,0,0,0,6,0,0,0,0,5,0,0,0,0
lemon,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0
lemongrass,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
lentil,0,2,4,0,3,17,12,16,8,5,0,5,0,6,6,7,5,6,3,17,6,4,0,8,9,0,9,7,5
lettuce,0,2,1,0,2,4,5,10,1,3,0,2,0,2,5,2,5,0,1,1,6,34,0,4,9,0,1,62,2
lime,0,3,14,83,31,13,3,9,7,5,0,1,0,12,3,18,21,13,36,3,8,12,21,4,6,8,6,1,11
lingonberry,0,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liqueur,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lobster,0,8,0,54,16,190,0,2,2,11,0,12,0,16,5,42,1,1,146,23,2,0,56,7,0,0,7,0,41
